Attached kprobe to mutex_lock and kretprobe to mutex_unlock
Attached kprobe to _raw_write_lock and kretprobe to _raw_write_unlock
Attached kprobe to _raw_read_lock and kretprobe to _raw_read_unlock
Tracing  locks for 30 seconds
TIME(s)            COMM             PID    LOCKTIME
2.633609650        b'ftdc'          335100 335080 18388517938844771920 2.633612     4134495.000000  2269  
2.633605899        b'ftdc'          335100 335080 18388517939027213856 2.633617     405187.000000   11211 
2.633688819        b'ftdc'          335100 335080 18388517938844771920 2.633859     4304573.000000  170078
2.633684598        b'ftdc'          335100 335080 18388517939027208224 2.633866     302969.000000   181118
2.633877556        b'ftdc'          335100 335080 18388517938844771920 2.633885     4311698.000000  7125  
2.633873407        b'ftdc'          335100 335080 18388517939027208224 2.633890     319644.000000   16675 
2.633945075        b'ftdc'          335100 335080 18388517938844771920 2.634145     4511876.000000  200178
2.633940921        b'ftdc'          335100 335080 18388517939027210272 2.634151     331817.000000   210138
2.634164313        b'ftdc'          335100 335080 18388517938844771920 2.634214     4561307.000000  49431 
2.634158869        b'ftdc'          335100 335080 18388517939027210272 2.634219     392392.000000   60575 
2.634231162        b'ftdc'          335100 335080 18388517938844771920 2.634235     4564888.000000  3581  
2.634227384        b'ftdc'          335100 335080 18388517939027210272 2.634240     404945.000000   12553 
2.633177724        b'ftdc'          335100 335080 18446744071655467912 2.633183     44073.000000    5580  
2.633482596        b'ftdc'          335100 335080 18446744071655467912 2.633487     48418.000000    4345  
2.652825521        b'ftdc'          335100 335080 18388517938844771920 2.652934     4673078.000000  108190
2.652818997        b'ftdc'          335100 335080 18388517939027209760 2.652944     509102.000000   124714
2.652957576        b'ftdc'          335100 335080 18388517938844771920 2.652960     4675418.000000  2340  
2.652953026        b'ftdc'          335100 335080 18388517939027209760 2.652966     522261.000000   13159 
2.653065324        b'ftdc'          335100 335080 18388517939027211552 2.653110     359196.000000   44590 
2.653118823        b'ftdc'          335100 335080 18388517939027211552 2.653145     385374.000000   26178 
2.653182638        b'ftdc'          335100 335080 18446744071631907152 2.653204     156107.000000   20865 
2.653177463        b'ftdc'          335100 335080 18388517938844771920 2.653214     4712033.000000  36615 
2.653173504        b'ftdc'          335100 335080 18388517939027208736 2.653219     443837.000000   45854 
2.653230417        b'ftdc'          335100 335080 18388517938844771920 2.653233     4714468.000000  2435  
2.653226542        b'ftdc'          335100 335080 18388517939027208736 2.653238     455378.000000   11541 
2.653302508        b'ftdc'          335100 335080 18446744071631907152 2.653316     169220.000000   13113 
2.653298002        b'ftdc'          335100 335080 18388517938844771920 2.653325     4741863.000000  27395 
2.653294047        b'ftdc'          335100 335080 18388517939027210784 2.653331     274019.000000   36625 
2.653341851        b'ftdc'          335100 335080 18388517938844771920 2.653344     4743878.000000  2015  
2.653338176        b'ftdc'          335100 335080 18388517939027210784 2.653349     284835.000000   10816 
2.653388737        b'ftdc'          335100 335080 18446744071631907152 2.653400     180784.000000   11564 
2.653384284        b'ftdc'          335100 335080 18388517938844771920 2.653409     4768324.000000  24446 
2.653380356        b'ftdc'          335100 335080 18388517939027213600 2.653414     181612.000000   33560 
2.653425025        b'ftdc'          335100 335080 18388517938844771920 2.653427     4770439.000000  2115  
2.653421181        b'ftdc'          335100 335080 18388517939027213600 2.653432     192771.000000   11159 
3.001235453        b'mongod'        335091 335080 18388517939129512736 3.001266     109800.000000   31011 
3.001277803        b'mongod'        335091 335080 18388517939129512736 3.001281     112611.000000   2811  
3.001308993        b'mongod'        335091 335080 18388517939129513760 3.001326     150369.000000   17169 
3.001335613        b'mongod'        335091 335080 18388517939129513760 3.001338     153154.000000   2785  
3.001242349        b'mongod'        335091 335080 18388517964412566376 3.001246     34700.000000    3309  
3.001313348        b'mongod'        335091 335080 18388517964412566376 3.001316     37490.000000    2790  
3.630668090        b'ftdc'          335100 335080 18388517938844771920 3.630693     4795069.000000  24630 
3.630657781        b'ftdc'          335100 335080 18388517939027213600 3.630707     242375.000000   49604 
3.632421577        b'ftdc'          335100 335080 18388517938844771920 3.632441     4814135.000000  19066 
3.632415837        b'ftdc'          335100 335080 18388517939027210784 3.632449     318236.000000   33401 
3.632498231        b'ftdc'          335100 335080 18388517938844771920 3.632513     4828866.000000  14731 
3.632492057        b'ftdc'          335100 335080 18388517939027208736 3.632519     482693.000000   27315 
3.632912072        b'ftdc'          335100 335080 18388517938844771920 3.633078     4994541.000000  165675
3.632907292        b'ftdc'          335100 335080 18388517939027211552 3.633084     562319.000000   176945
3.633102196        b'ftdc'          335100 335080 18388517938844771920 3.633104     4996730.000000  2189  
3.633097256        b'ftdc'          335100 335080 18388517939027211552 3.633110     574608.000000   12289 
3.633188741        b'ftdc'          335100 335080 18388517938844771920 3.633219     5027084.000000  30354 
3.633184625        b'ftdc'          335100 335080 18388517939027209760 3.633225     562626.000000   40365 
3.633237204        b'ftdc'          335100 335080 18388517938844771920 3.633239     5029130.000000  2046  
3.633233509        b'ftdc'          335100 335080 18388517939027209760 3.633245     573931.000000   11305 
3.633383413        b'ftdc'          335100 335080 18388517938844771920 3.633505     5151054.000000  121924
3.633379034        b'ftdc'          335100 335080 18388517939027210272 3.633511     536993.000000   132048
3.633522772        b'ftdc'          335100 335080 18388517938844771920 3.633525     5153383.000000  2329  
3.633518946        b'ftdc'          335100 335080 18388517939027210272 3.633530     548413.000000   11420 
3.633675941        b'ftdc'          335100 335080 18388517938844771920 3.633751     5228721.000000  75338 
3.633671985        b'ftdc'          335100 335080 18388517939027208224 3.633757     404948.000000   85304 
3.633769455        b'ftdc'          335100 335080 18388517938844771920 3.633772     5230840.000000  2119  
3.633765620        b'ftdc'          335100 335080 18388517939027208224 3.633777     416032.000000   11084 
3.633855703        b'ftdc'          335100 335080 18388517938844771920 3.634037     5412604.000000  181764
3.633850564        b'ftdc'          335100 335080 18388517939027213856 3.634043     597962.000000   192775
3.634055071        b'ftdc'          335100 335080 18388517938844771920 3.634062     5419615.000000  7011  
3.634051042        b'ftdc'          335100 335080 18388517939027213856 3.634067     614292.000000   16330 
3.634127525        b'ftdc'          335100 335080 18388517938844771920 3.634340     5632114.000000  212499
3.634123381        b'ftdc'          335100 335080 18388517939027209248 3.634346     589670.000000   222392
3.634357568        b'ftdc'          335100 335080 18388517938844771920 3.634409     5683533.000000  51419 
3.634353624        b'ftdc'          335100 335080 18388517939027209248 3.634414     650473.000000   60803 
3.634426797        b'ftdc'          335100 335080 18388517938844771920 3.634430     5687069.000000  3536  
3.634423027        b'ftdc'          335100 335080 18388517939027209248 3.634435     662918.000000   12445 
3.633341543        b'ftdc'          335100 335080 18446744071655467912 3.633348     54999.000000    6581  
3.633646166        b'ftdc'          335100 335080 18446744071655467912 3.633650     59098.000000    4099  
3.653225279        b'ftdc'          335100 335080 18388517938844771920 3.653333     5794388.000000  107319
3.653220545        b'ftdc'          335100 335080 18388517939027207200 3.653344     787221.000000   122964
3.653359074        b'ftdc'          335100 335080 18388517938844771920 3.653361     5796532.000000  2144  
3.653355058        b'ftdc'          335100 335080 18388517939027207200 3.653367     799241.000000   12020 
3.653473112        b'ftdc'          335100 335080 18388517939027207456 3.653509     565918.000000   36169 
3.653518046        b'ftdc'          335100 335080 18388517939027207456 3.653544     591909.000000   25991 
3.653581921        b'ftdc'          335100 335080 18446744071631907152 3.653600     199149.000000   18365 
3.653576561        b'ftdc'          335100 335080 18388517938844771920 3.653611     5831162.000000  34630 
3.653572355        b'ftdc'          335100 335080 18388517939027207712 3.653616     566993.000000   44106 
3.653627640        b'ftdc'          335100 335080 18388517938844771920 3.653630     5833438.000000  2276  
3.653623846        b'ftdc'          335100 335080 18388517939027207712 3.653635     578273.000000   11280 
3.653704954        b'ftdc'          335100 335080 18446744071631907152 3.653718     211755.000000   12606 
3.653700379        b'ftdc'          335100 335080 18388517938844771920 3.653727     5860369.000000  26931 
3.653696338        b'ftdc'          335100 335080 18388517939027214112 3.653732     609660.000000   36056 
3.653743400        b'ftdc'          335100 335080 18388517938844771920 3.653745     5862399.000000  2030  
3.653739625        b'ftdc'          335100 335080 18388517939027214112 3.653751     620649.000000   10989 
3.653793444        b'ftdc'          335100 335080 18446744071631907152 3.653805     223090.000000   11335 
3.653788853        b'ftdc'          335100 335080 18388517938844771920 3.653813     5886885.000000  24486 
3.653784808        b'ftdc'          335100 335080 18388517939027212832 3.653819     412579.000000   33726 
3.653829253        b'ftdc'          335100 335080 18388517938844771920 3.653831     5888875.000000  1990  
3.653825558        b'ftdc'          335100 335080 18388517939027212832 3.653837     423549.000000   10970 
4.001446314        b'mongod'        335091 335080 18388517939129513760 4.001478     185222.000000   32068 
4.001490508        b'mongod'        335091 335080 18388517939129513760 4.001493     188051.000000   2829  
4.001522208        b'mongod'        335091 335080 18388517939129512736 4.001539     129460.000000   16849 
4.001548303        b'mongod'        335091 335080 18388517939129512736 4.001551     132094.000000   2634  
